Airline;Operator;Livery_ID;Livery_Name;Livery_Type;Parent_Livery_ID;Start_Year;End_Year;Aircraft_Type;Example_Reg;Notes;Source_URL;Photo_URL
Austrian Airlines;Austrian Airlines;AUA-1958-ORIGINAL;Early Silver Line;Standard;;1958;1962;DC-3|Vickers Viscount;OE-LAC;Erste Nachkriegsbemalung mit blankmetallischem Rumpf und schmalem roten Zierstreifen auf Fensterhöhe sowie kleinem roten Pfeil an der Nase. Leitwerk weiß mit rotem Band oben und frühes provisorisches Branding vor Einführung der rot-weiß-roten 1960er-Livery.;;
Austrian Airlines;Austrian Airlines;AUA-1959-CHEATLINE;Early Cheatline;Standard;;1959;1963;Vickers Viscount|DC-3;OE-LAK;Übergangsdesign mit durchgehender rot-weiß-roter Cheatline von der schwarzen Bugspitze bis zum Heck und kleinem roten Pfeil auf der Nase. Polierter Metallrumpf unterhalb der Fensterlinie und Leitwerk in rot-weiß-roten Streifen. Diente als direkter Vorläufer der 1960er-Classic-Livery.;;https://www.planespotters.net/photo/764544/oe-lba-austrian-airlines-boeing-707-329
Austrian Airlines;Austrian Airlines;AUA-1960-CLASSIC;Classic / Red-White-Red;Standard;;1960;1988;Caravelle|DC-9|MD-80|A310;OE-LCE;Frühe Farbgebung mit rot-weiß-roter Cheatline und silbernem Unterrumpf. Teilweise kleiner roter Pfeil an der Nase (nicht bei allen Mustern ausgeführt, z. B. Caravelle). Typisches 1960er-Jahre-Layout mit rotem Leitwerk und weißem Mittelband.;;https://www.planespotters.net/photo/768976/oe-lca-austrian-airlines-sud-aviation-se-210-caravelle-vi-r
Austrian Airlines;Austrian Airlines;AUA-1972-CHEVRONEARLY;Chevron Early;Standard;;1972;1980;Caravelle|DC-9;OE-LCD;Übergangsdesign zwischen der klassischen 1960er-Bemalung und der 1980er-Pfeil-Livery. Erstmals Chevron-ähnlicher roter Keil am Leitwerk, weiterhin silberner Bauch und rote Cheatline unterhalb der Fensterlinie. Klassischer Serifenschriftzug „Austrian Airlines“. Repräsentiert den Beginn der moderneren Farbgebung vor der Einführung des Red-Arrow-Designs.;;https://en.wikipedia.org/wiki/Austrian_Airlines
Austrian Airlines;Austrian Airlines;AUA-1980-REDARROW;Red Arrow;Standard;;1980;1988;DC-9|MD-80|A310;OE-LDA;Corporate Design der 1980er-Jahre: weißer Rumpf mit großem roten, nach vorne zeigenden Pfeil auf Höhe der Fensterreihe und „AUSTRIAN“ in Großbuchstaben davor. Rot-weiß-rotes Leitwerk ohne Chevron, Unterrumpf metallisch-silbern. Markantes Erscheinungsbild der späten 70er- und frühen 80er-Jahre vor Einführung des Chevron-Tails 1988.;https://www.planespotters.net/photo/415265/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32;https://www.planespotters.net/photo/415265/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32
Austrian Airlines;Austrian Airlines;AUA-1988-CHEVRON;Chevron / Skyline;Standard;AUA-1972-CHEVRONEARLY;1988;2003;A310|A320|F70|F100|MD-80|B767;OE-LAC;Rebranding ab Ende der 1980er-Jahre mit großem „Austrian“-Titel über der Fensterreihe, hellgrauem Unterrumpf und charakteristischem roten Pfeil auf Fensterhöhe. Leitwerk im rot-weiß-roten Streifendesign ohne Chevron. Erstes modernes Corporate-Design der Nachkriegszeit und Grundlage für spätere Varianten.;https://en.wikipedia.org/wiki/Austrian_Airlines;https://www.planespotters.net/photo/1115899/oe-lac-austrian-airlines-airbus-a310-324
Austrian Airlines;Austrian Airlines;AUA-1995-ARROWSTRIPE;Arrow Stripe / Flag Tail;Standard;AUA-1988-CHEVRON;1995;2003;A320|A321|A310|MD-80|B767|B777;OE-LAA;Corporate-Design 1995 mit großem „AUSTRIAN AIRLINES“-Schriftzug oberhalb der Fenster, rotem Arrow davor und blau-grün verlaufender Linie unterhalb der Fenster. Weißer Unterrumpf, Leitwerk rot-weiß-rot mit rotem Arrow im weißen Feld. Symbolisierte die dynamische Modernisierung der AUA in den 1990er-Jahren.;https://de.wikipedia.org/wiki/Austrian_Airlines#Corporate_Design;https://www.planespotters.net/photo/015371/oe-lag-austrian-airlines-airbus-a340-211
Austrian Airlines;Austrian Airlines;AUA-2003-BLUEBELLY;Blue Belly / Red Arrow;Standard;;2003;2015;A320|A321|B737|B767|B777;OE-LBU;Corporate-Design 2003 mit hellblauem Unterrumpf und blau lackierten Triebwerken. Modernisierter Schriftzug und klarer Red-Arrow-Look, später durch weiß-rotes Design 2015 ersetzt.;https://thedesignair.net/2015/03/30/austrian-airlines-launches-new-livery-and-new-brand-direction/;https://www.jetphotos.com/photo/8846235/oe-lbu-austrian-airlines-boeing-767-3z9er
Austrian Airlines;Austrian Airlines;AUA-2015-MYAUA;myAustrian;Standard;;2015;2018;A321|A320|E195|B767|B777;OE-LBC;Markenrefresh 2015 mit „myAustrian“-Schriftzug, Entfernung des blauen Unterrumpfs und rote Triebwerke mit „austrian.com“-Logo. Weiß-rotes Erscheinungsbild mit modernisiertem Branding, Übergangsdesign vor dem 2018er-Corporate-Refresh.;;
Austrian Airlines;Austrian Airlines;AUA-2018-NEW;New Austrian;Standard;;2018;–;A321|A320|A320neo|E195|B767|B777;OE-LAW;Brand-Refresh 2018 ohne my. Großer Austrian Titel beginnend auf Fensterreihe weit vorne, rotes Heck mit erweiterten roten Flächen am Hinterrumpf. Roter Pfeil nur noch im weißen Tailband. Triebwerke weiß oder hellgrau.;https://thedesignair.net/2015/03/30/austrian-airlines-launches-new-livery-and-new-brand-direction;https://www.jetphotos.com/photo/10159741
